pickup_datetime,pickup_longitude,dropoff_latitude,pickup_zip,dropoff_zip
2014-01-01 00:00:00,-73.991,40.7671,10003,10019
2014-01-01 00:00:00,-73.8713,41.2007,11371,
2014-01-01 00:00:00,-73.9846,40.6885,10009,11205
2014-01-01 00:00:00,-73.9762,40.7357,10016,10003
2014-01-01 00:00:00,-73.9731,40.7754,00083,10028
2014-01-01 00:00:00,-73.9611,40.7557,10075,11372
2014-01-01 00:00:00,-73.9565,40.7184,10028,10013
2014-01-01 00:00:00,-73.9999,40.7413,10011,10014
2014-01-01 00:00:00,-73.9832,40.7483,10036,10001
2014-01-01 00:00:00,-74.0006,40.7255,10012,10012
2014-01-01 00:00:00,-73.9445,40.7699,10028,10021
2014-01-01 00:00:00,-73.9858,40.7435,10003,11104
2014-01-01 00:00:00,-73.9734,40.7553,10017,10017
2014-01-01 00:00:00,-73.9722,40.7678,10025,10065
2014-01-01 00:00:00,-73.9618,40.7433,10022,10016
2014-01-01 00:00:00,-73.967,40.7847,00083,10029
2014-01-01 00:00:00,-73.9651,40.7516,10022,10017
2014-01-01 00:00:00,-73.9906,40.6714,10003,11213
2014-01-01 00:00:00,-73.9822,40.7421,11201,10011
2014-01-01 00:00:00,-73.968,40.7447,10025,10016
2014-01-01 00:00:00,-74.0092,40.7519,10013,10001
2014-01-01 00:00:00,-73.9818,40.7388,10009,10011
2014-01-01 00:00:00,-74.0062,40.7612,10014,10036
2014-01-01 00:00:00,-73.9805,40.7349,11215,10014
2014-01-01 00:00:00,-74.0008,40.7311,10012,10003
2014-01-01 00:00:00,-73.9756,40.773,10024,10023
2014-01-01 00:00:00,-73.961,40.7768,10027,10023
2014-01-01 00:00:00,-73.9799,40.759,10019,10022
2014-01-01 00:00:00,-73.9911,40.7514,10036,10001
2014-01-01 00:00:00,-73.9911,40.752,10001,10001
2014-01-01 00:00:00,-73.8746,40.6881,11371,11201
2014-01-01 00:00:00,-73.9978,40.6993,11231,11201
2014-01-01 00:00:00,-73.979,40.6818,11215,11231
2014-01-01 00:00:00,-73.9885,40.7612,10003,10019
2014-01-01 00:00:00,-74.0011,40.7266,10014,10009
2014-01-01 00:00:00,-73.9808,40.7331,10016,10011
2014-01-01 00:00:00,-73.9816,40.7415,10009,10016
2014-01-01 00:00:00,-74.0085,40.7225,10007,11222
2014-01-01 00:00:00,-73.9713,40.8007,10025,10025
2014-01-01 00:00:00,-73.9575,40.7885,10128,10024
2014-01-01 00:00:00,-73.993,40.7272,10002,10009
2014-01-01 00:00:00,-73.9743,40.7768,10016,10028
2014-01-01 00:00:00,-73.9784,40.7309,10019,10003
2014-01-01 00:00:00,-73.9698,40.8167,10025,10030
2014-01-01 00:00:00,-73.9896,40.7388,10003,10010
2014-01-01 00:00:00,-73.9932,40.7203,10002,10002
2014-01-01 00:00:00,-73.9732,40.7735,10017,10023
2014-01-01 00:00:00,-73.9738,40.7381,11217,11373
2014-01-01 00:00:00,-73.979,40.8288,10016,10456
2014-01-01 00:00:00,-73.9784,40.745,10017,10016
2014-01-01 00:00:00,-74.0119,40.7792,10004,10023
2014-01-01 00:00:00,-73.9743,40.762,10016,11103
2014-01-01 00:00:00,-73.9927,40.7434,10010,10010
2014-01-01 00:00:00,-73.9779,40.7641,10016,10036
2014-01-01 00:00:00,-73.9528,40.7943,10029,10029
2014-01-01 00:00:00,-73.9802,40.7765,10023,10028
2014-01-01 00:00:00,-73.9547,40.7785,10128,10128
2014-01-01 00:00:00,-73.996,40.7628,10018,10036
2014-01-01 00:00:06,-73.9972,40.7537,10012,10022
2014-01-01 00:00:06,-73.8709,40.7097,11371,11415
2014-01-01 00:00:07,-73.9722,40.7737,11218,10028
2014-01-01 00:00:09,-73.9786,40.7554,10019,10036
2014-01-01 00:00:15,-73.9697,40.7788,10065,10028
2014-01-01 00:00:18,-74.0023,40.7368,10014,10011
2014-01-01 00:00:19,-74.0053,40.782,10013,10128
2014-01-01 00:00:19,-73.943,40.6947,11206,11221
2014-01-01 00:00:22,-73.9848,40.7449,10016,11377
2014-01-01 00:00:23,-74.0049,40.7753,10038,10023
2014-01-01 00:00:23,-74.0024,40.8385,10014,10456
2014-01-01 00:00:24,-73.9922,40.6455,11231,11220
2014-01-01 00:00:26,-73.9827,40.7604,10016,10022
2014-01-01 00:00:26,-74.001,40.7337,10012,10003
2014-01-01 00:00:26,-73.9693,40.7723,10065,10023
2014-01-01 00:00:27,-73.984,40.743,10016,10010
2014-01-01 00:00:29,-74.0024,40.7016,10038,10004
2014-01-01 00:00:29,-73.9881,40.7448,10001,10001
2014-01-01 00:00:30,-74.0064,40.7481,10011,10001
2014-01-01 00:00:31,-73.9026,40.7462,11377,11377
2014-01-01 00:00:33,0,0,,
2014-01-01 00:00:36,-73.9718,40.7236,10024,11428
2014-01-01 00:00:37,-74.0081,40.7453,10014,10011
2014-01-01 00:00:38,-73.9953,40.7559,10019,10018
2014-01-01 00:00:39,-73.9738,40.7551,10017,10017
2014-01-01 00:00:39,-73.8662,40.7191,11371,10013
2014-01-01 00:00:41,-73.9956,40.749,10036,10001
2014-01-01 00:00:42,0,0,,
2014-01-01 00:00:43,-73.9895,40.7449,10019,10016
2014-01-01 00:00:43,-73.9277,40.7117,11101,11211
2014-01-01 00:00:44,-73.9821,40.8008,10023,10025
2014-01-01 00:00:44,-73.9252,40.7222,11211,10009
2014-01-01 00:00:48,-73.9856,40.752,10001,10001
2014-01-01 00:00:48,-73.9803,40.723,10020,10012
2014-01-01 00:00:49,-73.9778,40.8072,10002,10027
2014-01-01 00:00:49,-73.9882,40.7986,10002,10025
2014-01-01 00:00:50,-73.9914,40.7496,10018,10016
2014-01-01 00:00:52,-74.0072,40.7191,10007,10013
2014-01-01 00:00:52,-74,40.7473,10012,10016
2014-01-01 00:00:52,-73.9766,40.6997,11217,11201
2014-01-01 00:00:53,-73.986,40.7341,10003,10011
