VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location,pickup_zip,tip_pct
1,2015-04-28 15:39:13,2015-04-28 16:02:51,1,5.2,0,0,1,N,0,0,1,20,0,0.5,4.16,0,0.3,24.96,0101000020E610000000000000000000000000000000000000,,0.166667
2,2015-11-29 22:41:21,2015-11-29 22:56:10,2,4.56,-73.9924,40.7253,1,N,-73.9498,40.7763,1,16,0.5,0.5,3.46,0,0.3,20.76,0101000020E610000000000040847F52C0000000C0D55C4440,10012,0.166667
2,2015-11-29 22:41:22,2015-11-29 22:50:45,1,3.31,-73.9742,40.763,1,N,-73.9844,40.725,1,11,0.5,0.5,2,0,0.3,14.3,0101000020E610000000000080597E52C000000060A8614440,10019,0.13986
2,2015-11-29 22:41:22,2015-11-29 22:48:20,4,1.46,-73.9777,40.7524,1,N,-73.9922,40.7394,1,7.5,0.5,0.5,2.2,0,0.3,11,0101000020E610000000000080927E52C0000000804D604440,10017,0.2
2,2015-11-29 22:41:22,2015-11-29 22:47:54,1,1.78,-73.9695,40.7663,1,N,-73.9816,40.747,2,8,0.5,0.5,0,0,0.3,9.3,0101000020E6100000000000400C7E52C0000000A014624440,10065,0
2,2015-11-29 22:41:24,2015-11-29 22:46:32,1,0.83,-74.0026,40.7337,1,N,-74.0099,40.7386,2,6,0.5,0.5,0,0,0.3,7.3,0101000020E6100000000000602A8052C000000040E85D4440,10014,0
2,2015-11-29 22:41:24,2015-11-29 22:50:33,1,2.35,-73.9929,40.7426,1,N,-73.9822,40.7704,1,9.5,0.5,0.5,1.5,0,0.3,12.3,0101000020E6100000000000408B7F52C0000000A00D5F4440,10010,0.121951
1,2015-11-29 22:41:25,2015-11-29 22:49:34,1,1.2,-73.9945,40.7508,1,N,-73.9853,40.766,2,7.5,0.5,0.5,0,0,0.3,8.8,0101000020E6100000000000C0A57F52C0000000E01A604440,10001,0
1,2015-11-29 22:41:26,2015-11-29 22:47:23,1,1.7,-73.9749,40.7512,1,N,-73.9961,40.7434,1,7.5,0.5,0.5,1.2,0,0.3,10,0101000020E6100000000000C0647E52C00000002026604440,10017,0.12
1,2015-11-29 22:41:26,2015-11-29 22:43:19,2,0.5,-73.9933,40.7296,1,N,-73.9926,40.7252,2,4,0.5,0.5,0,0,0.3,5.3,0101000020E610000000000040927F52C000000080625D4440,10003,0
