VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,1/30/2015 14:00,1/30/2015 15:04,1,23.5,-74.0054,40.7287,5,N,-73.964,40.8653,1,70,0,0,0,9.75,0.3,80.05
1,1/19/2015 15:51,1/19/2015 16:25,1,13.1,-73.9937,40.7246,3,N,-74.1773,40.6908,1,58,0,0,9,11,0.3,78.3
1,1/19/2015 15:51,1/19/2015 16:23,1,14.4,-73.873,40.7741,1,N,-73.8989,40.9128,2,41,0,0.5,0,5.33,0.3,47.13
1,1/28/2015 19:19,1/28/2015 19:35,1,4.5,-74.0088,40.7428,5,N,-74.0439,40.718,2,0.01,0,0,0,0,0.3,0.31
1,1/1/2015 13:55,1/1/2015 14:07,1,3.1,-73.9943,40.7193,1,N,-74.039,40.7315,2,12,0,0.5,0,0,0,12.8
2,1/23/2015 5:35,1/23/2015 5:45,1,2.79,-73.9864,40.7786,1,N,-74.0094,40.7466,1,10.5,0.5,0.5,2.36,0,0.3,14.16
1,1/9/2015 18:14,1/9/2015 18:43,1,18.1,-73.9938,40.7581,5,N,-74.1774,40.71,2,0.01,0,0,0,0,0.3,0.31
1,1/16/2015 23:16,1/16/2015 23:16,1,0,-73.9855,40.7438,1,N,0,0,2,10.5,0.5,0.5,0,0,0.3,11.8
2,1/26/2015 3:54,1/26/2015 4:42,1,34.68,-73.9948,40.7402,5,N,-73.7043,41.0693,1,165,0,0,24.7,0,0.3,190
1,1/3/2015 12:15,1/3/2015 12:27,1,2.6,-73.9858,40.7635,1,N,0,0,1,11,0,0.5,1,0,0,12.8
1,1/5/2015 20:06,1/5/2015 20:30,4,5.3,-73.9827,40.7646,5,N,-74.0184,40.7609,2,40,0,0,0,29.25,0.3,69.55
1,1/19/2015 16:03,1/19/2015 16:26,1,8.8,-73.7903,40.6464,4,N,-73.659,40.6566,1,39,0,0.5,7.96,0,0.3,47.76
2,1/19/2015 13:37,1/19/2015 13:57,1,4.19,-73.9786,40.7767,1,N,-74.0136,40.7454,1,17.5,0,0.5,3.5,0,0.3,21.8
2,1/10/2015 11:19,1/10/2015 11:50,1,19.72,-73.9861,40.7601,3,N,-74.1831,40.6879,2,70.5,0,0,0,11,0,81.5
1,1/31/2015 15:51,1/31/2015 15:51,2,0,-73.9981,40.756,1,N,0,0,2,5.5,0,0.5,0,0,0.3,6.3
1,1/31/2015 16:14,1/31/2015 16:55,1,15.2,-73.9764,40.7809,5,N,-74.1699,40.7084,1,85,0,0,19.4,11.75,0.3,116.45
2,1/24/2015 4:48,1/24/2015 5:29,1,16.91,-73.9821,40.7629,3,N,-74.1813,40.6878,1,65.5,0.5,0,19.51,11.75,0.3,97.56
2,1/24/2015 4:48,1/24/2015 5:24,3,14.35,-73.9803,40.7303,1,N,-73.8305,40.8032,2,39.5,0.5,0.5,0,0,0.3,40.8
1,1/24/2015 19:41,1/24/2015 19:41,2,0,-74.0074,40.7431,1,N,0,0,2,2.5,0.5,0.5,0,0,0.3,3.8
1,1/30/2015 17:41,1/30/2015 17:41,1,0,-73.9599,40.7737,1,N,0,0,2,2.5,1,0.5,0,0,0.3,4.3
